id,latitude,longitude
194,53.02340877,-1.48103858
195,53.09679522,-1.388028486
196,53.04222743,-1.375273141
197,53.01406555,-1.355333782
198,53.02349156,-1.479412545
199,53.02281635,-1.481239495
200,53.01321117,-1.353602601
201,53.09679522,-1.388028486
202,53.05035347,-1.406856392
203,53.08069675,-1.369297549
204,53.09741765,-1.386705442
205,53.04978471,-1.40456686
206,56.64451724,-2.887145333
207,56.56027628,-2.582531973
208,56.55177202,-2.596910802
209,56.55177202,-2.596910802
210,56.64451724,-2.887145333
211,56.56070389,-2.583303241
212,,
213,56.71323532,-2.467783346
214,56.55870308,-2.588462335
215,56.73254217,-2.660149805
216,56.71155114,-2.468905886
217,56.55895207,-2.581372763
218,56.64471093,-2.888959924
219,56.56090603,-2.582346411
220,56.64533219,-2.883723702
221,56.50063392,-2.714431554
222,56.71323532,-2.467783346
223,56.56090603,-2.582346411
224,56.73420308,-2.660358725
225,56.00360207,-4.73245835
226,55.42404207,-5.605092775
227,55.94946388,-4.925733281
228,56.41275093,-5.470858012
229,56.00455213,-4.733391726
230,55.83730743,-5.055365536
231,,
232,55.94809396,-4.924748804
233,55.8375216,-5.054343978
234,55.42443153,-5.605302219
235,55.94946388,-4.925733281
236,56.41536182,-5.472653068
237,56.00320339,-4.734627893
238,50.80375423,-0.541366744
239,50.77917327,-0.736939381
240,50.80875544,-0.543609694
241,50.80991931,-0.543190272
242,50.78351631,-0.673682345
243,50.7871145,-0.660386896
244,50.7871145,-0.660386896
245,50.77024889,-0.74496536
246,50.78224825,-0.674470033
247,50.80945641,-0.542849829
248,50.78283245,-0.674439332
249,50.80945641,-0.542849829
250,50.78344753,-0.672379215
251,50.78221426,-0.67543559
252,50.78224825,-0.674470033
253,50.78224825,-0.674470033
254,50.78122166,-0.675931733
255,50.78122166,-0.675931733
256,50.78122166,-0.675931733
257,50.78122166,-0.675931733
258,50.78122166,-0.675931733
259,50.78597215,-0.675329416
260,50.79732594,-0.69087268
261,50.78146992,-0.685159153
262,50.78351631,-0.673682345
263,50.80894733,-0.540254066
264,50.78446608,-0.674166168
265,50.7871145,-0.660386896
266,50.7871145,-0.660386896
267,50.7871145,-0.660386896
268,50.77024889,-0.74496536
269,50.81020562,-0.507497937
270,50.78991902,-0.654801966
271,50.77024889,-0.74496536
272,50.7861447,-0.674686152
273,50.81938055,-0.544670495
274,50.78411215,-0.675467085
275,50.85309757,-0.552060362
276,50.80991931,-0.543190272
277,50.80945641,-0.542849829
278,50.7930624,-0.681215898
279,50.78351631,-0.673682345
280,50.7871145,-0.660386896
281,50.7871145,-0.660386896
282,50.7871145,-0.660386896
283,50.7871145,-0.660386896
284,50.7871145,-0.660386896
285,50.77024889,-0.74496536
286,53.09898562,-1.246414942
287,53.12391212,-1.263567735
288,53.02672584,-1.220687521
289,53.12464464,-1.261373423
290,53.03806324,-1.203317278
291,53.03302453,-1.208003063
292,53.13097519,-1.255944131
293,53.12524887,-1.263141405
294,53.03806324,-1.203317278
295,53.09939216,-1.243898749
296,53.12826943,-1.301976753
297,53.09944326,-1.244868634
298,53.12464464,-1.261373423
299,53.0587895,-1.336134843
300,53.14069558,-1.276884736
301,53.10441225,-1.237492474
302,53.09936539,-1.246766749
303,53.03806324,-1.203317278
304,53.12520126,-1.261259276
305,53.03806324,-1.203317278
306,53.09915242,-1.244365936
307,53.03752324,-1.201880599
308,51.13958882,0.852908098
309,51.14893609,0.871188638
310,51.14952376,0.869966678
311,51.14957014,0.872472162
312,51.0674154,0.685674305
313,51.13716641,0.880894701
314,51.12327098,0.865122624
315,51.14986454,0.870373948
316,51.160915,0.87271944
317,51.14886114,0.873872456
318,51.14808082,0.871221333
319,51.13573826,0.861777362
320,51.14952376,0.869966678
321,51.14940139,0.873848832
322,51.14940139,0.873848832
323,51.14940139,0.873848832
324,51.14886114,0.873872456
325,51.14886114,0.873872456
326,51.81748422,-0.81318818
327,51.81748422,-0.81318818
328,52.00052892,-0.987541719
